product_title,asin,author,review,rating,date,url
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,SCEMB,"Many years ago they were the best, but now, I'd rather use Colonial or Village, the smell is much more pronounced. Yankee has lost their edge, my opinion.",3.0,2020-11-22,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=3
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Kat,I love this candle so much! I always buy one at the start of the holiday season. The scent reminds me of when I was a little girl in Oregon on Christmas Day. My mom baking a ham (with cloves) and sitting around the Christmas tree that we chopped down in the forest.,5.0,2020-02-22,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=3
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,~*JONAS*~,"Very nice! The scent reminds me mostly of BAYBERRY. Difficult to notice much else from the scent except the Bayberry BUT this candle is becoming a favorite of mine the more I have it going! The scent does remind me much of my personal favorite Yankee Candle Holiday Bayberry. Aside from the comparisons, I do really like this candle! It does contain one of those magical type aroma's I rarely notice, it's a good thing. If you like the smell of BAYBERRY then I strongly recommend trying this candle out. I doubt anyone would not enjoy this one. I need to order another 1 or 2. Loving this candle!",5.0,2017-10-11,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=3
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Kevin and Mari Cornish,"I'm not sure what's going on with this candle. I've ordered this fragrance, Home Sweet Home, many times from Yankee Candle. The scent is always strong and pleasant and fills the entire house with fragrance.  This candle had no scent. It smells like it should when I take the lid off, but when I burn it- nothing. I purchased 2 of these and both have no fragrance when lit.  I won't purchase these from Amazon again.",1.0,2020-09-04,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=3
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Chayse,"Should’ve listened to other reviews but I chose to give then a try bc we love this scent and couldn’t find a lot of alternatives especially not reasonably priced (if I recall correctly).  Arrived totally broken, couldn’t even unbox it due to amount of glass.  And of course we have forgotten to return it so will have to eat the cost.  Do yourself a favor and find a different seller because it’s clearly an issue on their end if this many people are bothering to inform others that it was broken via their review.",1.0,2021-03-07,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=3
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,BarryBonez,"I hate it but I have to give it 5 stars because my mom likes it and it does what it promises. My entire house smells like the inside of a box of Red Hots candies. Other people complain about there being no scent, so maybe there is some sort of issue with consistency in these candles, but let me tell you, the one I have has my house absolutely reeking of spicy cinnamon. I dont really like the smell but the price was so cheap that I gave it a shot thinking 'it's probably not that strong of a smell'. Man was I wrong. So if you like the smell of Red Hots, give this a try, hopefully you dont get a dud like other people are complaining about.",5.0,2021-01-22,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=3
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Lori K,"The two candles I bought are sitting in the exact spot I always put the candles I buy directly from Yankee. Even so, they burned down the middle like cheap candles.  I had to scrap the wax off the sides to fill in the cavern. That helped somewhat build the sides, but the wick is spent.  Huge waste of money. They smell great and look great until you start using them. Reviews on the Yankle Candle website show the same poor quality feedback. I contacted Yankee Xandke and was told the Amazon Store that's called Yankee Candke isn't Yankee Candle. So, no guarantees.  And the Amazon ""Yankee Candle"" won't reply.",1.0,2021-12-21,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=3
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Mom of 2,Honestly if you are not in the same room you can not smell anywhere else. Disappointing as i love this as a holiday scent. ****UPDATE. I ORIGINALLY BOUGHT 2 CANDLES. MY FIRST REVIEW WAS FOR THE FIRST ONE. TODAY I DECIDED TO TRY THE 2ND ONE BEFORE SENDING BACK AND IT SMELLS SO GOOD. MY WHOLE FAMILY COMMENTED ON IT. I HAVE NO IDEA WHY ONE CANDLE HAD POOR THROW AND ANOTHER SAME CANDLE HAD WONDERFUL THROW AND SMELL,3.0,2021-01-09,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=4
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Bryan J. Mulholland,"I love the scent of Home Sweet Home. It's perfect to get you in the holiday spirit.  However, my experience mirrors that of numerous other reviews: this candle is the weakest Yankee Candle I've ever smelled.  With every other Yankee Candle, after one is lit, I can smell it throughout the entire house.  With this one, the only way I can smell it is if I bend down over the candle and take a deep whiff while it's burning. I've never had a problem with Yankee Candle's QC before.  This leads me to believe that my candle is either counterfeit or several years old.",1.0,2020-10-12,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=4
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Lori in georgia,"I never bought yankee candles because of the cost, This year for Christmas my husband wanted us to have them. I bought 3, 2 vannila and this cinnamon. The 2 Val. came in first I was so ready to light them and have my house smell like a cookie.. That didn't happen you could not smell them at all. When the cinnamon came in the glass jar was broken so i couldn't use it. They sent me another with no trouble but, when i got it it had no smell either... Very disapointed to pay that much and my 5 dollar walmart candles smelled better..",3.0,2022-01-10,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=4
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Lyse M. Gunderson,"It also seems that it will only last that long IF it isn't burned CONTINUOUSLY for that amount of time.  The candle needs to rest and reset for it to last that long. I'm not impressed by the scent, but then again, I much prefer earthy or floral scents over food or spice flavored scents.  So vanilla cupcake, cinnamon stick, cookie dough or other such nonsense is not my thing in a candle.  By far my favorite is Yankee's Balsam and Fir. Now that's a candle!  Lavender? YES.  This cinnamon stick is rather weak, just a meager hint of something old in the oven but is is cinnamon? hmmm. not sure.  Could be a baked potato",3.0,2020-09-18,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=4
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,G. Avci,"I don’t like food smell. I have an open concept kitchen and living room. So when I cook something smelly like roasted garlic or fried fish, the smell gets all over the place. This candle is magic! I light it up and in five minutes my kitchen smells amazing. Even my husband noticed the smell and enjoyed it. I definitely recommend it.",5.0,2021-02-28,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=4
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,jusntyme,"My first review amazon wouldn’t allow to posted. I spoke the truth . Candle has very very very faint smell after burning for 30 minutes . However I am use to a scent that one can smell throughout the house I have small house. Perhaps this candle by yankee scent does not agree with my taste in scents. I have this burning in my kitchen. I need to revise my first rating. After leaving the candle to burn longer, I Went outside for awhile and when I came back in and opened the door , I smelled the scent. I think that in all fairness that I should revise my rating. However that being said, I think that it is just a nice light scent compared to what I am use to. I have for years favored another brand scent for years when I decided to give yankee a chance. The “smells like burning wax” is no longer true. It has a light scent, but I think that this particular scent just doesn’t work for me. I would give it as a gift",4.0,2018-02-14,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=4
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Ginger,"I was truly hoping for Yankee candle quality. Not even halfway down through the candle the wicked disappeared. Generally, when you light a Yankee candle, it will easily, leave it’s more than aromatic scent. My downstairs is more than 1200 ft.², the whole first floor, attic, and the stairs going down to the basement are always inundated with the delightful smell. Sadly, it did not encompass this area in the least. It barely scented my 14x14 kitchen.",1.0,2020-09-25,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=4
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Kindle Customer,Very disappointed. I don't buy many Yankee candles because they are too expensive for my budget. I splurged on this one since it is Christmas season. I love the Christmas smell of balsam and the spicy scent of cloves. This candle has very little scent (had scent the first time I burned it but that has faded out) and what it has smells more like baby powder. Absolutely no clove scent at all and no balsam scent either. I paid almost $30 for this candle and it will it in the closet because it's pretty worthless as to making the house smell nice.,1.0,2021-12-14,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=4
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,HamiltonLane,"This is what i think a house should smell like during the holidays. Its a very light, comforting smell. I use it when i have people over and its the 1st thing the mention coming in the door- smells like home. Its hard to decide the smell beyond that. Makes me think of spice cake and cinnamon, apple pie, and xmas. Hands down my fav scent from Yankee.",5.0,2021-04-07,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=4
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Jeffrey Richardson,"This Yankee candle has a very nice scent, but it could be a bit stronger. I've almost exclusively bought Yankee for many years and this is the first one that has a scent that is very subtle. If that's what you're looking for in this scent, you'll like this candle. The preference for a stronger scent that fills several rooms is my own.",4.0,2017-10-26,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=4
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Austin Grandma,"In appearance, the candle is excellent. I have almost burned it to the bottom, and I see no sign that the wick is going to disappear, as some people have reported. Unfortunately, the most important characteristic of a scented candle is the scent, and it’s much less than I hoped. I purchased the “sparkling cinnamon,“ and I can only smell it when I’m within a few feet of the candle. If I leave the house, I will notice it when I come back in, but it’s faint. I would not purchase this candle again.",4.0,2020-12-06,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=5
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Julia,"I am SO pissed. I ordered this as a gift to give TOMORROW. I JUST got it. Opened it right away...and the candle obviously had melted and been stored on it's side and hardened back up. It is totally pulled away from the side and the wax is all stuck to one side on the top. Now I not only have to waste time going to Kohls to send this back to Amazon, but I also have to try to find a replacement gift for my friend. THE NIGHT BEFORE THANKSGIVING!!! Super frustrated!!!",1.0,2019-11-27,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=5
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Amazon Customer,So disappointed! Home Sweet Home is my all time favorite Yankee Candle scent and this one must have been a quality control reject. First the wick was so short I could barely get it to light. Yankee candle lovers know you always need to trim the wick. Second there is barely a scent! I even tried leaving the candle lit in my bedroom with the door closed for 3 hours. I expected to be hit with the scent when I entered the room but it didn’t happen. Will stick with shopping directly with Yankee Candle shops.,2.0,2020-01-14,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=5
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Maria Hull,"I had received this scent of candle 22 years ago as a gift….. the smell is as stated “home sweet home”. 22 years later I’m still buying it. This is the first time I’ve gotten it from Amazon, and was a bit hesitant. If you are, don’t be!!! It was packaged beautifully, and soundly. The quality is all YANKEE, and it fills the house will amazing smell!! Great candle. I’ll definitely be buying more scents from Amazon in the future.",5.0,2021-11-08,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=5
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,sun1,"Bought this ""Sparkling Cinnamon""  candle to burn for Christmas as I have loved other cinnamon I have purchased.  I am a long time customer of Yankee Candles and usually love their products, but this one is a dud.  It does not smell like cinnamon AT ALL  and whatever fragrance it has is very faint.",1.0,2018-12-21,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=5
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Renee,"As for Yankee Candles, excellent in all regards! I recommend for any reason! Sorry to say that (1) one of the (2) two candles I ordered were broken upon delivery. I heard the glass shards rattling in the (1) one box when I picked it up in the mail room. I am not going to ask for a refund/replacement this time, but will if it happens on the next. This is unusual for me to experience in all my 15 years of an Amazon cutomer.",4.0,2021-12-09,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=5
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,H.M,I was excited to get these candles at $11.99 but I see why they were so cheap now. I've always bought Yankee Candles but these aren't like any I have had in the past. There is no scent! You literally have to put your nose up to the candle while it's burning to smell anything. Usually Yankee Candles when burning will fill my entire home with the scent. I would not recommend these particular candles.,1.0,2020-11-28,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=5
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Robin Alwine,"This apple-cinnamon scent actually permeates a large room, which I've found a little unusual for this brand.  This scent is crisp, reminiscent of fall and Thanksgiving.  Like all their large jar candles, it burns a for a long time. The wick creates a lot of smoke, though, and their prices have skyrocketed.  Fancy jars and colors don't make a good candle.  Good scent, longevity, and quality wicks do.  Not to mention, these include paraffin.",5.0,2021-01-10,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=5
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Teri Barker,I purchased this Yankee Sparkling Cinnamon Candle from Amazon and literally let it burn for 8 hours and there was absolutely ’NO’ scent at all!  I had previously purchased a Sparkling Cinnamon Candle from an actual Yankee Candle Store at our local Mall.  It was rich with cinnamon scent. I’ve been told before there are cheaper versions and to only buy from the store... now I believe it!,1.0,2020-05-03,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=5
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Tampa Bay,This candle smells delightful.  The cinnamon scent is very pleasant. It's not too strong and the candle Burns for a long time. I burn it in my bedroom during the day and when I walk in the room it smells great!  This cinnamon is very warming and reminds me of home  During Christmas when I was growing up.,5.0,2018-12-09,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=5
