,norm_reviews,norm_cases
157,0.0,0.0008291606205932119
158,0.0,0.0009045278279345271
159,0.0,0.0009285531160063006
160,0.001201923076923077,0.0009666083229331188
161,0.0,0.0008311627279325264
162,0.0,0.0007873742136249441
163,0.0,0.0008530797363060826
164,0.0,0.0008396565166447696
165,0.0,0.000778622577755365
166,0.0,0.0010728565192353753
167,0.0,0.0007848412444911144
168,0.0,0.0005356850531053663
169,0.001201923076923077,0.0005759698795691483
170,0.0,0.0006692347131255472
171,0.0,0.0007051968078339912
172,0.0,0.000669067870847271
173,0.001201923076923077,0.000738807943166725
174,0.001201923076923077,0.0006766971132084466
175,0.001201923076923077,0.000500117312872848
176,0.0,0.0005132675178969816
177,0.003605769230769231,0.0006337428102922454
178,0.007211538461538462,0.0006463621535218638
179,0.0,0.0007590716962373623
