date,new_cases,reviews
2021-04-17,54870.0,0.0
2021-04-18,43279.0,0.0
2021-04-19,62891.0,0.0
2021-04-20,62135.0,0.0
2021-04-21,64251.0,0.0
2021-04-22,66901.0,0.0
2021-04-23,63191.0,0.0
2021-04-24,54289.0,0.0
2021-04-25,34141.0,0.0
2021-04-26,43133.0,0.0
2021-04-27,52353.0,0.0
2021-04-28,55144.0,0.0
2021-04-29,58866.0,0.0
2021-04-30,58003.0,0.0
2021-05-01,48264.0,0.0
2021-05-02,30069.0,0.0
2021-05-03,45873.0,0.0
2021-05-04,42566.0,0.0
2021-05-05,45779.0,0.0
2021-05-06,46601.0,1.0
2021-05-07,48179.0,0.0
2021-05-08,35157.0,0.0
2021-05-09,22491.0,0.0
2021-05-10,33191.0,0.0
2021-05-11,35204.0,0.0
2021-05-12,35921.0,0.0
2021-05-13,38888.0,0.0
2021-05-14,42046.0,0.0
2021-05-15,30398.0,0.0
2021-05-16,17431.0,0.0
2021-05-17,25821.0,0.0
2021-05-18,28784.0,5.0
2021-05-19,29502.0,0.0
2021-05-20,30099.0,0.0
2021-05-21,28690.0,0.0
2021-05-22,20945.0,0.0
2021-05-23,13530.0,0.0
2021-05-24,22256.0,0.0
2021-05-25,24525.0,0.0
2021-05-26,24519.0,0.0
2021-05-27,26837.0,0.0
2021-05-28,22230.0,0.0
2021-05-29,13149.0,1.0
2021-05-30,7186.0,0.0
2021-05-31,6078.0,0.0
2021-06-01,20979.0,0.0
2021-06-02,16698.0,0.0
2021-06-03,18370.0,0.0
2021-06-04,17808.0,0.0
2021-06-05,15446.0,3.0
2021-06-06,5921.0,0.0
2021-06-07,14159.0,0.0
2021-06-08,12944.0,0.0
2021-06-09,18542.0,0.0
2021-06-10,14928.0,0.0
2021-06-11,25000.0,0.0
2021-06-12,9041.0,0.0
2021-06-13,5185.0,3.0
2021-06-14,11542.0,1.0
2021-06-15,10866.0,0.0
2021-06-16,11873.0,0.0
2021-06-17,11597.0,0.0
2021-06-18,21282.0,0.0
2021-06-19,8933.0,0.0
2021-06-20,4839.0,0.0
2021-06-21,10665.0,0.0
2021-06-22,10682.0,0.0
2021-06-23,12620.0,3.0
2021-06-24,14315.0,0.0
2021-06-25,24389.0,0.0
2021-06-26,9316.0,0.0
2021-06-27,4524.0,0.0
2021-06-28,13655.0,0.0
2021-06-29,7010.0,0.0
2021-06-30,15182.0,0.0
2021-07-01,15009.0,0.0
2021-07-02,29692.0,0.0
2021-07-03,5150.0,2.0
2021-07-04,4098.0,0.0
2021-07-05,8715.0,2.0
2021-07-06,22754.0,0.0
2021-07-07,20088.0,0.0
2021-07-08,20784.0,0.0
2021-07-09,47581.0,0.0
2021-07-10,9730.0,0.0
2021-07-11,11524.0,0.0
2021-07-12,30022.0,0.0
2021-07-13,26319.0,0.0
2021-07-14,31227.0,1.0
2021-07-15,31763.0,0.0
2021-07-16,77331.0,0.0
2021-07-17,13496.0,0.0
2021-07-18,20593.0,0.0
2021-07-19,49783.0,1.0
2021-07-20,39387.0,0.0
2021-07-21,47595.0,0.0
2021-07-22,56389.0,0.0
2021-07-23,120768.0,1.0
2021-07-24,27500.0,1.0
2021-07-25,27097.0,0.0
2021-07-26,80832.0,0.0
2021-07-27,64824.0,0.0
2021-07-28,73145.0,3.0
2021-07-29,72829.0,1.0
2021-07-30,190580.0,0.0
2021-07-31,41915.0,0.0
2021-08-01,42888.0,0.0
2021-08-02,112414.0,3.0
2021-08-03,96732.0,0.0
2021-08-04,102985.0,0.0
2021-08-05,109108.0,1.0
2021-08-06,251310.0,0.0
2021-08-07,60479.0,2.0
2021-08-08,32729.0,0.0
2021-08-09,165466.0,0.0
2021-08-10,117226.0,1.0
2021-08-11,153014.0,0.0
2021-08-12,144980.0,0.0
2021-08-13,225981.0,0.0
2021-08-14,68264.0,0.0
2021-08-15,44054.0,0.0
2021-08-16,203843.0,0.0
2021-08-17,148854.0,0.0
2021-08-18,166596.0,0.0
2021-08-19,154417.0,0.0
2021-08-20,240034.0,0.0
2021-08-21,82516.0,0.0
2021-08-22,40175.0,0.0
2021-08-23,223090.0,0.0
2021-08-24,155103.0,7.0
2021-08-25,172463.0,0.0
2021-08-26,187691.0,1.0
2021-08-27,238487.0,1.0
2021-08-28,72898.0,0.0
2021-08-29,45624.0,3.0
2021-08-30,239545.0,0.0
2021-08-31,180280.0,0.0
2021-09-01,196675.0,0.0
2021-09-02,175865.0,0.0
2021-09-03,237333.0,0.0
2021-09-04,77141.0,0.0
2021-09-05,52245.0,0.0
2021-09-06,80535.0,0.0
2021-09-07,242277.0,0.0
2021-09-08,177921.0,0.0
2021-09-09,165431.0,0.0
2021-09-10,232296.0,0.0
2021-09-11,78132.0,0.0
2021-09-12,44926.0,0.0
2021-09-13,235250.0,0.0
2021-09-14,142677.0,0.0
2021-09-15,176360.0,0.0
2021-09-16,156931.0,0.0
2021-09-17,210610.0,0.0
2021-09-18,71312.0,0.0
2021-09-19,43178.0,0.0
2021-09-20,179286.0,0.0
2021-09-21,117068.0,0.0
2021-09-22,136609.0,0.0
2021-09-23,127577.0,0.0
2021-09-24,176559.0,0.0
2021-09-25,58989.0,0.0
2021-09-26,52260.0,0.0
2021-09-27,159767.0,0.0
2021-09-28,112718.0,0.0
2021-09-29,120972.0,0.0
2021-09-30,111344.0,0.0
2021-10-01,154614.0,4.0
2021-10-02,47004.0,0.0
2021-10-03,43605.0,0.0
2021-10-04,145471.0,5.0
2021-10-05,95371.0,0.0
2021-10-06,112990.0,0.0
2021-10-07,101457.0,0.0
2021-10-08,131725.0,1.0
2021-10-09,37702.0,4.0
2021-10-10,38910.0,0.0
2021-10-11,97491.0,0.0
2021-10-12,111132.0,0.0
2021-10-13,108855.0,0.0
2021-10-14,86983.0,0.0
2021-10-15,109841.0,0.0
2021-10-16,39238.0,0.0
2021-10-17,31083.0,0.0
2021-10-18,100040.0,0.0
2021-10-19,81282.0,0.0
2021-10-20,91953.0,0.0
2021-10-21,77932.0,5.0
2021-10-22,96383.0,2.0
2021-10-23,31839.0,0.0
2021-10-24,18573.0,0.0
2021-10-25,111124.0,0.0
2021-10-26,69230.0,0.0
2021-10-27,102378.0,0.0
2021-10-28,75757.0,3.0
2021-10-29,95135.0,0.0
2021-10-30,33870.0,0.0
2021-10-31,32029.0,0.0
2021-11-01,111482.0,0.0
2021-11-02,70970.0,0.0
2021-11-03,85373.0,1.0
2021-11-04,81737.0,0.0
2021-11-05,96696.0,0.0
2021-11-06,34607.0,0.0
2021-11-07,36314.0,0.0
