date,norm_new_cases,norm_reviews
2020-07-17,0.04870448524709966,0.0
2020-07-18,0.04728893760847721,0.0
2020-07-19,0.04323157029323102,0.0
2020-07-20,0.04466173380834932,0.0
2020-07-21,0.04908230565451722,0.0
2020-07-22,0.04974148168447977,0.0
2020-07-23,0.04966620992052617,0.0
2020-07-24,0.055104046770804785,0.0
2020-07-25,0.045909198867269574,0.3
2020-07-26,0.04143674065954143,0.2
2020-07-27,0.04405955969672056,0.0
2020-07-28,0.047472366858500044,0.0
2020-07-29,0.04730647666027222,0.0
2020-07-30,0.04947254955695624,0.0
2020-07-31,0.04819439115739472,0.0
2020-08-01,0.04217995797935507,0.0
2020-08-02,0.034641819676623734,0.0
2020-08-03,0.029867543619256417,0.0
2020-08-04,0.04513017265004111,0.0
2020-08-05,0.03994519046314059,0.0
