,date,freq
366,2020-08-06,8
367,2021-05-11,8
368,2021-07-16,8
369,2020-09-03,8
370,2021-07-10,8
371,2021-10-27,8
372,2021-05-08,8
373,2020-05-01,8
374,2021-09-30,8
375,2020-04-10,8
376,2020-08-14,8
377,2020-11-11,8
378,2020-04-25,8
379,2021-04-21,8
380,2020-05-07,8
381,2021-06-15,8
382,2021-11-01,8
383,2020-07-06,7
384,2021-06-18,7
385,2020-11-04,7
386,2020-11-07,7
387,2020-11-29,7
388,2021-09-03,7
389,2020-09-30,7
390,2021-10-17,7
391,2020-04-05,7
392,2021-07-17,7
393,2020-12-20,7
394,2020-03-12,7
395,2020-06-04,7
396,2021-07-12,7
397,2020-09-04,7
398,2021-03-05,7
399,2021-09-27,7
400,2020-06-17,7
401,2020-05-25,7
402,2021-01-16,7
403,2021-10-31,7
404,2021-08-25,7
405,2021-07-01,7
406,2021-08-23,7
407,2020-10-13,7
408,2020-04-30,7
409,2021-04-02,7
410,2020-03-09,7
411,2021-06-13,7
412,2021-02-21,7
413,2020-06-15,7
414,2021-06-12,7
415,2021-04-22,7
416,2021-09-24,7
417,2022-01-16,7
418,2021-08-30,7
419,2021-10-24,7
420,2021-09-20,7
421,2021-10-10,7
422,2020-05-08,7
423,2020-08-22,7
424,2020-08-23,7
425,2020-09-12,7
426,2020-09-22,7
427,2020-10-10,7
428,2021-09-15,7
429,2020-06-21,7
430,2020-07-30,7
431,2021-11-06,7
432,2021-03-28,6
433,2021-05-23,6
434,2021-09-01,6
435,2020-11-08,6
436,2020-08-11,6
437,2020-09-06,6
438,2020-07-08,6
439,2020-10-12,6
440,2021-09-06,6
441,2020-07-21,6
442,2020-03-27,6
443,2021-11-12,6
444,2021-07-27,6
445,2021-05-01,6
446,2021-10-08,6
447,2020-10-09,6
448,2020-03-08,6
449,2021-08-07,6
450,2020-05-23,6
451,2021-07-05,6
452,2020-04-24,6
453,2021-02-24,6
454,2021-11-11,6
455,2021-04-07,6
456,2020-08-01,6
457,2021-08-27,6
458,2021-08-29,6
459,2020-10-07,6
460,2021-10-19,6
461,2021-11-10,6
462,2021-06-25,6
463,2020-11-21,6
464,2020-07-11,6
465,2021-08-11,6
466,2021-05-27,6
467,2020-10-19,6
468,2021-09-05,6
469,2021-07-30,6
470,2021-08-08,6
471,2020-06-20,6
472,2020-08-31,6
473,2021-08-14,6
474,2020-04-18,6
475,2020-04-17,6
476,2021-07-25,6
477,2021-09-17,6
478,2020-08-30,6
479,2020-07-07,6
480,2020-03-19,6
481,2020-12-09,6
482,2020-06-24,6
483,2020-04-15,6
484,2020-10-11,6
485,2021-01-01,6
486,2020-10-26,6
487,2020-04-06,6
488,2020-06-28,5
489,2020-06-02,5
490,2021-06-11,5
491,2020-09-25,5
492,2021-08-04,5
493,2021-07-22,5
494,2020-07-26,5
495,2021-07-14,5
496,2020-03-06,5
497,2020-08-19,5
498,2021-01-17,5
499,2020-07-28,5
500,2021-07-20,5
501,2020-09-24,5
502,2020-06-03,5
503,2020-06-12,5
504,2021-07-11,5
505,2021-05-04,5
506,2021-06-26,5
507,2020-04-07,5
508,2020-07-22,5
509,2020-12-27,5
510,2021-01-02,5
511,2021-10-11,5
512,2020-05-06,5
513,2021-09-10,5
514,2020-06-13,5
515,2020-04-12,5
516,2020-07-29,5
517,2020-05-17,5
518,2021-11-16,5
519,2020-03-26,5
520,2021-02-17,5
521,2020-08-04,5
522,2021-06-24,5
523,2021-01-11,5
524,2021-07-19,5
525,2020-11-26,5
526,2020-04-22,5
527,2020-06-01,5
528,2020-05-18,5
529,2020-09-18,5
530,2021-09-12,5
531,2021-02-14,5
532,2020-04-09,5
533,2020-05-16,5
534,2021-05-09,5
535,2020-09-01,5
536,2020-10-03,5
537,2021-08-06,5
538,2020-08-15,5
539,2021-08-19,5
540,2021-06-03,5
541,2020-08-20,4
542,2020-06-25,4
543,2020-07-16,4
544,2020-03-11,4
545,2021-07-24,4
546,2021-10-05,4
547,2021-03-26,4
548,2020-06-30,4
549,2020-08-05,4
550,2021-04-12,4
551,2021-04-24,4
552,2021-03-15,4
553,2020-08-18,4
554,2020-07-18,4
555,2020-08-07,4
556,2020-04-28,4
557,2021-05-05,4
558,2020-03-05,4
559,2020-07-12,4
560,2021-05-16,4
561,2021-06-16,4
562,2020-05-29,4
563,2020-07-02,4
564,2020-05-31,4
565,2021-10-12,4
566,2020-06-10,4
567,2021-05-10,4
568,2020-04-29,4
569,2020-06-16,4
570,2021-03-08,4
571,2020-09-08,4
572,2021-11-14,4
573,2020-05-28,4
574,2020-03-24,4
575,2020-04-01,4
576,2021-01-20,4
577,2020-07-27,4
578,2021-05-15,4
579,2020-04-20,3
580,2021-10-13,3
581,2020-09-13,3
582,2020-09-02,3
583,2021-04-13,3
584,2020-06-18,3
585,2020-07-17,3
586,2021-05-19,3
587,2020-03-01,3
588,2021-02-08,3
589,2020-07-24,3
590,2021-11-13,3
591,2021-08-16,3
592,2020-06-14,3
593,2021-06-10,3
594,2021-07-29,3
595,2020-09-20,3
596,2020-03-17,3
597,2021-10-15,3
598,2020-08-12,3
599,2021-05-17,3
600,2021-08-01,3
601,2021-05-28,3
602,2020-05-03,3
603,2021-05-26,3
604,2021-08-31,3
605,2020-03-02,3
606,2020-07-23,3
607,2020-08-10,3
608,2020-05-30,3
609,2020-04-02,3
610,2020-08-03,3
611,2021-05-30,3
612,2021-01-30,3
613,2021-07-21,3
614,2021-02-11,3
615,2020-04-16,3
616,2020-07-25,3
617,2020-05-09,3
618,2020-03-28,3
619,2021-07-06,3
620,2021-06-07,3
621,2020-09-19,3
622,2021-07-04,3
623,2021-06-09,2
624,2021-09-21,2
625,2020-05-20,2
626,2021-08-05,2
627,2020-05-24,2
628,2021-06-21,2
629,2020-05-02,2
630,2021-05-13,2
631,2020-05-10,2
632,2020-06-06,2
633,2021-06-14,2
634,2021-05-06,2
635,2021-03-29,2
636,2020-06-26,2
637,2021-07-07,2
638,2020-09-28,2
639,2020-06-07,2
640,2021-06-04,2
641,2020-11-25,2
642,2020-03-30,2
643,2020-03-22,2
644,2020-09-14,2
645,2020-03-16,2
646,2020-03-04,2
647,2020-06-11,2
648,2021-10-16,1
649,2021-10-23,1
650,2021-06-27,1
651,2020-08-02,1
652,2020-03-21,1
653,2020-04-08,1
654,2020-09-26,1
655,2021-07-09,1
656,2020-08-28,1
657,2020-03-31,1
658,2020-07-13,1
659,2020-07-15,1
660,2021-04-03,1
661,2020-09-27,1
662,2021-06-06,1
663,2020-10-16,1
664,2020-07-04,1
665,2020-07-01,1
666,2020-03-10,1
667,2020-03-13,1
668,2020-07-31,1
669,2020-04-26,1
